UID,Lat,Lon,CO,PM10,PM25,AQI
122,48.9477,-122.1471,0.1,5,7,7
123,48.054315,-122.171529,2.4,,8,8
124,46.5754,-119.0021,,14,15,15
125,47.1303,-119.2737,,,17,17
126,48.4102,-122.3376,,,4,8
127,-124.610045,48.366058,0.9,,8,23
128,47.49022,-121.77278,5,,9,9
129,48.2944,-122.66,,,4,12
130,46.818292,-123.197083,,,15,15
131,48.39999,-119.51896,,,42,42
132,48.11697,-123.46555,0,,13,13
133,-122.77897,48.12919,,,25,25
134,46.7244,-117.18014,,,16,16
135,47.1401,-122.3004,,,15,15
136,47.2372495,-122.409946,3,,10,11
137,46.68562,-123.7285563,,,18,18
138,47.128,-118.3819,,,10,10
139,47.23136,-117.36856,,16,16,16
140,47.5713,-122.3057,1.4,,12,
141,-122.338265,47.559975,6.7,,31,31
142,47.6171136,-122.3044689,6.9,,55,
143,47.6331,-122.3628,6,,21,21
144,47.53091,-122.3208,6.7,,29,29
145,47.21355,-123.10081,,,6,6
146,47.672482,-117.36485,,20,17,20
147,47.6630,-117.4283,,13,17,17
148,47.663962,-117.25765,,19,38,38
149,47.69983,-117.42631,,16,22,22
150,47.2656,-122.385,3.1,,16,16
151,47.18631,-122.45154,,,14,14
152,46.38024,-120.33266,,9,30,30
153,48.069,-122.275,,,10,19
154,48.36451,-120.12113,,,14,14
155,45.668065,-122.549247,,10,17,17
156,46.05881,-118.35147,,,17,17
157,47.88528,-117.98865,,16,18,18
158,47.43061,-120.34195,,,15,
159,48.47724,-120.19057,,,17,17
160,-120.72932,46.37543,,10,6,10
161,45.86639,-122.40889,1.7,8,7,8
162,46.59495,-120.51228,,10,5,10
163,46.4452069,-120.438234,,21,50,50
164,45.61071,-122.535634,,10,17,17
177,29.7706975,-95.0312316,1.2,13,61,13
178,29.686389,-95.294722,3.4,,25,25
179,29.5830473,-95.0155437,1.2,13,16,18
180,-95.4251278,30.3503017,,,23,23
181,29.7679707,-95.2205867,3.4,,25,25
182,32.1754284,-96.8701803,,,53,53
183,32.5649518,-96.3176773,,,58,58
184,-97.0885849,32.6563574,1.2,38,60,60
185,32.7591432,-97.3423337,1.2,38,155,155
186,29.4072945,-98.431251,,,26,26
187,29.2753812,-98.3116919,,,16,16
188,29.3529047,-98.3328207,,,26,26
189,29.4239327,-98.5805051,,,19,19
190,29.3328029,-98.5513964,,,19,19
191,29.51509,-98.620166,,,17,17
192,29.5877306,-98.3124785,,,32,32
193,31.6675,-106.288,2.3,40,28,28
194,27.4269883,-97.2987037,,,52,52
195,30.06717,-94.09093,,,16,
196,31.8702534,-102.3347563,,,42,42
197,29.2544736,-94.8612886,1.2,13,55,55
198,31.6530743,-97.0706982,1.2,,19,32
199,27.599444,-99.533333,,,29,29
