UID,Lat,Lon,CO,PM10,PM25,AQI
2990,50.8835598135965,4.38296325223672,0.1,23,46,46
2991,50.8496654902807,4.33381970814122,0.1,23,53,53
2992,4.35853885678284,50.7966316407078,,21,61,61
2993,50.6554391056019,4.66828768328499,0.1,29,59,59
2994,50.4651921586212,3.93971432591091,0.1,25,53,53
2995,50.4093114542045,4.45217178148666,0.1,32,57,57
2996,50.4289953950868,4.45868085845934,,25,50,50
2997,50.4164333617278,4.52113020857407,,24,53,53
2998,50.3775921043162,4.4247004508363,,21,53,53
2999,50.4078102016064,4.39589711747052,0.1,50,74,74
3000,50.5027163432349,4.98842295458277,,18,50,50
3001,5.23516865528608,50.2744775131291,,27,59,59
3002,4.59476276260369,50.0956834363639,,18,38,42
3003,50.6119227087484,5.61114976337198,,29,57,57
3004,3.45762442752259,50.6167184039975,0.1,23,46,46
3005,50.6122775303272,5.99275271977705,,20,59,59
3006,50.658444418984,5.62783529140739,,31,61,61
3007,50.6206708810353,5.51640475568634,0.1,28,63,63
3008,50.5836143495633,5.39744605065858,,29,57,57
3009,50.3032078303659,6.00173628912486,0.1,20,57,57
3010,50.0270290195129,5.59301691461049,,23,61,61
3011,49.8771284934884,5.20238746730465,,21,50,50
3012,49.7192811900301,5.63039774115335,0.1,13,30,30
3013,51.0162801133644,2.58232278174657,,20,50,50
3014,51.2906675289821,4.29332947736965,,,42,42
3015,51.1960632707315,3.82292004718586,,17,38,38
3016,51.1246905141288,3.73950422081456,,19,34,34
3017,5.05330329177176,51.2308576129524,,17,42,42
3018,50.9130204252402,4.51218434663774,,20,42,20
3019,50.9397118672803,5.36837853282668,,27,74,74
3020,50.6249915710942,5.54746418311726,,13,42,42
3021,50.6134125036773,5.57022281466112,0.1,28,57,57
3022,3.73497148005682,51.040689421652,,29,53,53
3023,45.720081538692,4.818158942139,,27,55,55
3024,45.731883664316,4.98054739605,,21,,37
3025,45.753581276814,5.07230131917,,,,38
3026,45.778966990895,4.924923713657,,29,46,46
3027,4.83694271473,45.772482230805,,11,,11
3028,45.75779318439,4.854217317644,,24,63,63
3029,45.735351083786,4.829801108221,,30,,30
3030,45.7282699629542,4.89615150786641,,,,
3031,45.663940304773,4.845836036043,,32,,32
3032,45.707806439419,4.864485061341,,,,
3033,4.802546222501,45.601923136623,,,,31
3034,45.986443202255,4.719290361969,,16,42,42
3035,45.758413661765,4.886215308064,,13,,13
3036,45.252054653932,6.397010936049,,10,,10
3037,45.675107781679,6.389599834955,,10,,35
3038,45.59679436891,5.918676013561,,18,,24
3039,45.564584299066,5.928431717547,,17,65,65
3040,45.535835536905,6.471112963836,,9,,9
3041,6.55955998535801,45.4972100136993,,,,
3042,45.274740787783,6.349606838506,,16,,36
3043,45.53348214262,4.623943177713,,13,,13
3044,45.389574823329,4.615813424391,,,,
3045,46.211678626461,5.226506120842,,18,,41
3046,45.9363095051624,4.79611123685963,,,,
3047,44.6782928904349,4.66779934595251,,,,
3048,44.6657614769491,4.66780571387439,,,,
3049,45.82328124639,4.95395726364,,31,,38
3050,45.8232263830597,4.95395835530554,,,,
3051,44.948979972383,4.889880434423,,15,21,21
3052,44.569450181889,5.278967733434,,15,46,
3053,45.042241506127,5.044121168707,,16,,31
3054,44.87030041894,4.876288924175,,18,,32
3055,44.93357319309,4.893482678713,,17,,33
3056,45.895344907131,6.118434383291,,20,34,44
3057,45.917053910731,6.13566407044,,21,,45
3058,46.195793667548,6.240596278778,,11,25,37
3059,45.922590754029,6.869920034221,,15,,42
3060,45.906709907435,6.845045684004,,11,,11
3061,46.1938501405666,6.21503726028186,,,,
3062,45.923534337001,6.713640124243,,11,30,41
3063,46.072356553098,5.820804563356,,13,30,30
3064,45.353243899983,4.804827943323,,19,50,
3065,45.279968441102,5.882402042389,,9,,21
3066,45.190501042545,5.686973552328,,8,,18
3067,5.720058504242,45.180750631543,,27,,
3068,45.162232917637,5.73567122388,,10,30,30
3069,45.1584260342,5.703763064989,,13,38,38
3070,45.367874999176,4.805160319978,,15,,15
3071,45.183030097973,5.753251253991,,9,,17
3072,45.058031566912,5.676894454841,,16,,18
3073,45.526024882009,4.875408575196,,,,
3074,45.36023170019,5.589425495626,,9,,17
3075,45.3895124171497,4.61580118388874,,,,
3076,45.481606970099,4.429907076343,,34,,35
3077,4.515004483207,45.475383776049,,12,30,36
3078,45.422049046716,4.412785187028,,16,21,21
3079,46.041268534811,4.074659314085,,21,,23
3080,45.466772211228,4.389779332601,,,,
3081,45.420144878552,4.395420752586,,16,25,
3082,48.8917,2.34563,1,22,,34
3083,48.3545,2.64536,,12,20,24
3084,48.8604,1.67671,,,,
3085,48.9302,2.29421,2.8,21,54,54
3086,48.8686,2.31166,1,43,58,43
3087,48.8502,2.25258,4.6,37,47,47
3088,48.8386,2.41278,1.9,30,58,58
3089,48.8733,2.32957,1,23,58,23
3090,48.8593,2.35101,1.9,21,61,61
3091,48.8277,2.3267,5.5,33,58,33
3092,48.8704,2.33241,1,29,61,61
3093,48.8403,2.63463,1.9,17,30,35
3094,3.08444,48.8056,1.9,23,28,35
3095,48.5282,2.65382,1.9,22,28,28
3096,48.3635,2.23539,1.9,12,24,32
3097,48.8913,2.24064,4.6,9,47,47
3098,48.9251,2.35654,2.8,29,55,55
3099,48.9024,2.45261,1,18,36,36
3100,48.9022,2.3907,1,32,30,32
3101,48.9557,2.57441,1,15,58,58
3102,48.8408,2.4844,1.9,19,64,19
3103,48.7759,2.37577,1.9,19,50,50
3104,49.0459,2.04104,6.4,16,43,43
3105,48.9908,2.44461,1,14,58,58
3106,1.8664,49.0631,6.4,17,48,42
3107,48.1448688,17.1130846,1.6,14,30,30
3108,48.1591812,17.1275135,1.7,20,21,21
3109,48.1684184,17.1078752,1.6,10,21,21
3110,48.1211242,17.1294547,1.6,20,50,50
3111,48.6912322,21.2841724,1.1,7,21,21
3112,48.7515999,21.2450463,1.1,20,50,50
3113,48.7245097,21.2604374,1.1,20,50,50
3114,48.7361083,19.1625274,2.4,11,38,38
3115,48.7344444,19.1128073,2.4,6,21,21
3116,20.2406967,48.6302458,,10,25,25
3117,48.5805792,19.9537932,,9,21,21
3118,48.558752,19.1545153,3,10,21,21
3119,48.5987548,18.8419693,,10,25,25
3120,48.438336,17.0204133,,,,
3121,20.987,48.783,0.7,54,57,57
3122,48.673558,21.1658161,0.7,54,57,57
3123,21.8277072,48.8717057,2.1,6,21,21
3124,48.2861955,18.1383259,2.8,10,30,30
3125,47.8048196,17.9208236,2.5,28,38,38
3126,48.9340188,21.91053,2.1,18,57,57
3127,49.1361539,20.306469,2.4,9,34,34
3128,49.0300862,20.3279007,2.4,9,34,34
3129,48.9973311,21.2682807,2.3,19,34,34
3130,49.0568346,22.2551211,,10,38,38
3131,48.8856779,21.690072,2.1,14,53,14
3132,48.6604318,18.5100381,1.8,9,21,21
3133,48.7361475,18.7561554,3,10,34,34
3134,48.7820503,18.6305714,1.7,12,13,13
3135,48.8963499,18.0414822,1.9,24,46,46
3136,47.9704873,17.7852936,2.5,12,30,30
3137,17.3605467,48.6797096,1.1,8,13,13
3138,17.588892,48.372061,2.4,15,42,42
3139,48.9430555,19.5888888,1.7,11,30,30
3140,49.0578053,18.9198444,1.2,16,34,34
3141,49.0787782,19.3023554,1.7,11,30,30
3142,48.9341964,21.8907545,2.1,13,21,21
3143,49.2144883,18.7691377,1.9,15,59,59
3144,48.9200933,20.8859343,0.6,8,21,21
3145,48.3995543,-4.4672114,,20,,20
3146,48.3864831,-4.486988,,6,28,28
3147,48.0884166,-1.6579973,,,,
3148,48.1087181,-1.6657967,,14,22,22
3149,47.743058,-3.3945147,,14,53,33
3150,48.5166909,-2.751034,,16,,44
3151,-22.2346809,166.4336597,,9,22,22
3152,-22.2513169,166.4538986,,18,32,32
3153,-22.2789865,166.4529914,,18,36,36
3154,-22.2995761,166.441985,,17,19,25
3155,166.7798172,-22.3125347,,6,,1
3156,-22.3125347,166.7798172,,2,,14
3157,166.8084399,-22.3100305,,,,
3158,57.15736,-2.094278,,8,26,26
3159,55.79216,-3.2429,0.1,3,14,25
3160,54.59965,-5.928833,0.1,6,33,33
3161,52.437165,-1.829999,,11,67,67
3162,52.511722,-1.830583,,15,52,52
3163,-1.830861,52.512194,,16,27,
3164,-3.007175,53.80489,,7,34,34
3165,51.462839,-2.584482,,6,7,
3166,51.54421,-0.175269,0.1,14,51,51
3167,51.48178,-3.17625,0.1,13,47,47
3168,54.894834,-2.945307,,9,54,54
3169,51.374264,0.54797,,6,61,61
3170,51.638094,-2.678731,0.1,17,53,53
3171,53.230583,-1.433611,,,,
3172,53.231722,-1.456944,,14,40,40
3173,52.394399,-1.519612,,,,
3174,55.001225,-7.329115,,14,36,
3175,50.805778,0.271611,,,67,67
3176,55.945589,-3.182186,0.1,4,18,25
3177,55.85917,-4.258889,,1,5,
3178,56.010319,-3.704399,,4,8,8
3179,51.5993,-0.068218,0.1,19,44,22
3180,-1.325283,51.571078,,,,
3181,53.74878,-0.341222,,,32,32
3182,52.28881,-1.533119,,11,42,42
3183,52.294884,-1.542911,,16,43,43
3184,53.80378,-1.546472,0.1,17,29,29
3185,-1.576361,53.819972,0.1,15,54,54
3186,52.631348,-1.133006,,,,
3187,53.34633,-2.844333,,12,34,34
3188,51.46603,0.184806,,18,32,32
3189,51.52229,-0.125889,0.1,14,51,51
3190,51.45258,0.070766,,18,61,61
3191,51.48879,-0.441614,0.1,7,20,25
3192,51.617333,-0.298777,0,21,59,59
3193,51.52253,-0.154611,0.1,20,60,60
3194,51.52105,-0.213492,0.1,15,35,35
3195,51.425286,-0.345606,0.1,7,31,31
3196,53.48152,-2.237881,,16,18,18
3197,54.569297,-1.220874,,11,16,20
3198,-1.610528,54.97825,,10,42,42
3199,1.301976,52.614193,,14,49,49
3200,52.95473,-1.146447,,14,43,43
3201,51.744806,-1.260278,,9,39,39
3202,-4.142361,50.37167,,19,55,55
3203,51.58395,-3.770822,0.1,20,61,61
3204,-1.068583,50.82881,,28,74,74
3205,53.76559,-2.680353,,7,35,35
3206,51.45309,-0.944067,0.1,7,41,41
3207,51.45617,0.634889,,12,33,33
3208,53.48481,-2.334139,,13,42,42
3209,50.411463,-4.227678,,9,28,28
3210,52.132417,-0.300306,,15,46,46
3211,50.90814,-1.395778,,77,78,78
3212,51.544206,0.678408,,12,39,39
3213,51.518167,0.439548,,12,20,20
3214,54.516667,-1.358547,,10,43,43
3215,53.02821,-2.175133,,12,33,33
3216,50.916932,-0.449548,,14,,14
3217,54.88361,-1.406878,,10,28,28
3218,51.632696,-3.947374,0.1,26,82,82
3219,53.38928,-2.615358,,8,29,29
3220,53.54914,-2.638139,,7,58,58
3221,53.37287,-3.022722,,12,25,25
3222,-1.086514,53.967513,0.1,14,43,43
3223,53.951889,-1.075861,0,51,155,35
3224,52.199575,0.12774,,27,63,27
3225,52.20843,0.141521,,27,38,27
3226,52.225556,0.087222,,15,46,46
3227,-3.682222222,40.42138889,0.1,40,74,74
3228,40.41916667,-3.747222222,0.1,25,57,57
3229,-3.706944444,40.44527778,,27,57,57
3230,40.39805556,-3.686666667,0.1,30,74,74
3231,40.43972222,-3.690277778,0.1,22,57,57
3232,40.46555556,-3.688611111,,18,55,55
3233,40.4167754,-3.7037902,0.1,16,30,
3234,-37.7783165,145.0306,4.5,13,43,43
3235,-37.82864,145.13237,3.4,6,18,6
3236,-37.9134521,144.997986,3.4,6,5,6
3237,145.1987,-37.98576,3.4,19,16,19
3238,-37.775074,145.328461,3.4,20,53,53
3239,-37.84455,144.8629,2.3,55,7,55
3240,-37.82198,144.847122,2.3,55,24,55
3241,-37.7700917,144.772669,3.4,,,
3242,-37.8047676,144.872711,2.3,12,24,24
3243,-37.7064476,144.566986,2.3,55,5,55
3244,-37.9261971,144.756638,2.3,55,4,55
3245,-37.816608,144.890106,6.7,,,
3246,-37.818635,145.0014704,2.3,5,10,
3247,-38.17345,144.37027,1.2,26,23,26
3248,-38.1942825,146.531464,2.3,14,38,38
3249,-33.9144373,151.2416416,1.2,13,22,22
3250,-33.8629613,151.1706043,1.2,13,29,29
3251,-33.7671921,151.186797,1.2,12,29,29
3252,-33.8913904,151.0502024,1.2,22,39,39
3253,151.125934,-33.926374,1.2,12,21,21
3254,-33.5965134,150.7505025,1.2,12,29,29
3255,-33.7659967,150.7741332,2.3,9,21,21
3256,150.8278084,-33.604155,1.2,19,23,
